abandon,abandoned
abase,abased
abash,abashed
abate,abated
abbreviate,abbreviated
abdicate,abdicated
abduct,abducted
abet,abetted
abhor,abhorred
abide,abode
abjure,abjured
ablate,ablated
abnegate,abnegated
abolish,abolished
abominate,abominated
abort,aborted
abound,abounded
abrade,abraded
abridge,abridged
abrogate,abrogated
abscess,abscessed
abscond,absconded
abseil,abseiled
absent,absented
absolve,absolved
absorb,absorbed
abstain,abstained
abstract,abstracted
abuse,abused
abut,abutted
accede,acceded
accelerate,accelerated
accent,accented
accentuate,accentuated
accept,accepted
access,accessed
acclaim,acclaimed
acclimate,acclimated
acclimatize,acclimatized
accommodate,accommodated
accompany,accompanied
accomplish,accomplished
accord,accorded
accost,accosted
account,accounted
accouter,accoutered
accoutre,accoutred
accredit,accredited
accrue,accrued
acculturate,acculturated
accumulate,accumulated
accuse,accused
accustom,accustomed
ace,aced
acerbate,acerbated
ache,ached
achieve,achieved
acidify,acidified
acknowledge,acknowledged
acquaint,acquainted
acquiesce,acquiesced
acquire,acquired
acquit,acquitted
act,acted
activate,activated
actualize,actualized
actuate,actuated
adapt,adapted
add,added
addict,addicted
addle,addled
address,addressed
adduce,adduced
adhere,adhered
adjoin,adjoined
adjourn,adjourned
adjudge,adjudged
adjudicate,adjudicated
adjure,adjured
adjust,adjusted
administer,administered
administrate,administrated
admire,admired
admit,admitted
admix,admixed
admonish,admonished
adopt,adopted
adore,adored
adorn,adorned
adsorb,adsorbed
adulate,adulated
adulterate,adulterated
adumbrate,adumbrated
advance,advanced
advantage,advantaged
adventure,adventured
advert,adverted
advertise,advertised
advertize,advertized
advise,advised
advocate,advocated
aerate,aerated
affect,affected
affiance,affianced
affiliate,affiliated
affirm,affirmed
affix,affixed
afflict,afflicted
afford,afforded
afforest,afforested
affront,affronted
age,aged
agglomerate,agglomerated
agglutinate,agglutinated
aggrandize,aggrandized
aggravate,aggravated
aggregate,aggregated
aggrieve,aggrieved
agitate,agitated
agonize,agonized
agree,agreed
aid,aided
ail,ailed
aim,aimed
air,aired
airbrush,airbrushed
airdrop,airdropped
airlift,airlifted
airmail,airmailed
alarm,alarmed
alert,alerted
alias,aliased
alibi,alibied
alienate,alienated
alight,alighted
align,aligned
aliment,alimented
aline,alined
alkalize,alkalized
allay,allayed
allege,alleged
alleviate,alleviated
alliterate,alliterated
allocate,allocated
allot,allotted
allow,allowed
alloy,alloyed
allude,alluded
allure,allured
ally,allied
alphabetize,alphabetized
alter,altered
alternate,alternated
amalgamate,amalgamated
amass,amassed
amaze,amazed
amble,ambled
ambulate,ambulated
ambuscade,ambuscaded
ambush,ambushed
ameliorate,ameliorated
amend,amended
amerce,amerced
amnesty,amnestied
amortize,amortized
amount,amounted
amplify,amplified
amputate,amputated
amuse,amused
anaesthetize,anaesthetized
analogize,analogized
analyse,analysed
analyze,analyzed
anathematize,anathematized
anatomize,anatomized
anchor,anchored
anesthetize,anesthetized
anger,angered
angle,angled
anglicize,anglicized
anguish,anguished
animadvert,animadverted
animate,animated
anneal,annealed
annex,annexed
annihilate,annihilated
annotate,annotated
announce,announced
annoy,annoyed
annul,annulled
anodize,anodized
anoint,anointed
answer,answered
antagonize,antagonized
ante,anted
antedate,antedated
anthologize,anthologized
anticipate,anticipated
antiquate,antiquated
antique,antiqued
ape,aped
apologize,apologized
apostatize,apostatized
appal,appalled
appall,appalled
apparel,appareled
appeal,appealed
appear,appeared
appease,appeased
append,appended
appertain,appertained
applaud,applauded
applique,appliqued
apply,applied
appoint,appointed
apportion,apportioned
appose,apposed
appraise,appraised
appreciate,appreciated
apprehend,apprehended
apprentice,apprenticed
apprise,apprised
apprize,apprized
approach,approached
appropriate,appropriated
approve,approved
approximate,approximated
aquaplane,aquaplaned
arbitrage,arbitraged
arbitrate,arbitrated
arc,arced
arch,arched
archive,archived
argue,argued
arise,arose
arm,armed
armor,armored
armour,armoured
arouse,aroused
arraign,arraigned
arrange,arranged
array,arrayed
arrest,arrested
arrive,arrived
arrogate,arrogated
articulate,articulated
ascend,ascended
ascertain,ascertained
ascribe,ascribed
ask,asked
asphalt,asphalted
asphyxiate,asphyxiated
aspirate,aspirated
aspire,aspired
assail,assailed
assassinate,assassinated
assault,assaulted
assay,assayed
assemble,assembled
assent,assented
assert,asserted
assess,assessed
asseverate,asseverated
assign,assigned
assimilate,assimilated
assist,assisted
associate,associated
assort,assorted
assuage,assuaged
assume,assumed
assure,assured
asterisk,asterisked
astonish,astonished
astound,astounded
atomize,atomized
atone,atoned
atrophy,atrophied
attach,attached
attack,attacked
attain,attained
attempt,attempted
attend,attended
attenuate,attenuated
attest,attested
attire,attired
attitudinize,attitudinized
attract,attracted
attribute,attributed
attune,attuned
auction,auctioned
audit,audited
audition,auditioned
augment,augmented
augur,augured
auscultate,auscultated
authenticate,authenticated
author,authored
authorize,authorized
autograph,autographed
automate,automated
automatize,automatized
autopsy,autopsied
avail,availed
avenge,avenged
aver,averred
average,averaged
avert,averted
avoid,avoided
avouch,avouched
avow,avowed
await,awaited
awake,awoke
awaken,awakened
award,awarded
awe,awed
ax,axed
axe,axed
baa,baaed
babble,babbled
baby,babied
babysit,babysit
back,backed
backbite,backbit
backdate,backdated
backfire,backfired
backhand,backhanded
backlog,backlogged
backpack,backpacked
backpedal,backpedaled
backslide,backslid
backspace,backspaced
backstop,backstopped
backstroke,backstroked
backtrack,backtracked
badger,badgered
badmouth,badmouthed
baffle,baffled
bag,bagged
bail,bailed
bait,baited
bake,baked
balance,balanced
bald,balded
bale,baled
balk,balked
ball,balled
ballast,ballasted
balloon,ballooned
ballot,balloted
ballyhoo,ballyhooed
bamboozle,bamboozled
ban,banned
band,banded
bandage,bandaged
bandy,bandied
bang,banged
banish,banished
bank,banked
bankroll,bankrolled
bankrupt,bankrupted
banquet,banqueted
banter,bantered
baptize,baptized
bar,barred
barb,barbed
barbarize,barbarized
barbecue,barbecued
barbeque,barbequed
barber,barbered
bare,bared
barf,barfed
bargain,bargained
barge,barged
barhop,barhopped
bark,barked
barnstorm,barnstormed
barrack,barracked
barrage,barraged
barrel,barreled
barricade,barricaded
barter,bartered
base,based
bash,bashed
bask,basked
bastardize,bastardized
baste,basted
bat,batted
batch,batched
bate,bated
bathe,bathed
batten,battened
batter,battered
battle,battled
baulk,baulked
bawl,bawled
bay,bayed
bayonet,bayoneted
be,was
beach,beached
bead,beaded
beam,beamed
bean,beaned
bear,bore
beard,bearded
beat,beat
beatify,beatified
beautify,beautified
beaver,beavered
becalm,becalmed
beckon,beckoned
becloud,beclouded
become,became
bed,bedded
bedaub,bedaubed
bedazzle,bedazzled
bedeck,bedecked
bedevil,bedeviled
bedim,bedimmed
bedizen,bedizened
bedraggle,bedraggled
beef,beefed
beep,beeped
beetle,beetled
befall,befell
befit,befitted
befog,befogged
befoul,befouled
befriend,befriended
befuddle,befuddled
beg,begged
beget,begot
beggar,beggared
begin,began
begrime,begrimed
begrudge,begrudged
beguile,beguiled
behave,behaved
behead,beheaded
behold,beheld
behoove,behooved
bejewel,bejewelled
belabor,belabored
belabour,belaboured
belay,belayed
belch,belched
beleaguer,beleaguered
belie,belied
believe,believed
belittle,belittled
bell,belled
bellow,bellowed
belly,bellied
bellyache,bellyached
belong,belonged
belt,belted
bemire,bemired
bemoan,bemoaned
bemuse,bemused
bench,benched
bend,bent
benefit,benefited
benumb,benumbed
bequeath,bequeathed
berate,berated
bereave,bereaved
berry,berried
berth,berthed
beseech,besought
beseem,beseemed
beset,beset
besiege,besieged
besmear,besmeared
besmirch,besmirched
besot,besotted
bespangle,bespangled
bespatter,bespattered
bespeak,bespoke
best,bested
bestir,bestirred
bestow,bestowed
bestrew,bestrewed
bestride,bestrode
bet,bet
betake,betook
bethink,bethought
betide,betided
betoken,betokened
betray,betrayed
betroth,betrothed
better,bettered
bevel,beveled
bewail,bewailed
beware,bewared
bewilder,bewildered
bewitch,bewitched
bias,biased
bicker,bickered
bicycle,bicycled
bide,bode
bifurcate,bifurcated
bike,biked
bilk,bilked
bill,billed
billet,billeted
billow,billowed
bin,binned
bind,bound
binge,binged
biodegrade,biodegraded
biopsy,biopsied
birch,birched
bird,birded
birdie,birdied
birth,birthed
bisect,bisected
bitch,bitched
bite,bit
bivouac,bivouacked
blab,blabbed
blabber,blabbered
black,blacked
blackball,blackballed
blacken,blackened
blackjack,blackjacked
blacklist,blacklisted
blackmail,blackmailed
blacktop,blacktopped
blame,blamed
blanch,blanched
blandish,blandished
blank,blanked
blanket,blanketed
blare,blared
blarney,blarneyed
blaspheme,blasphemed
blast,blasted
blather,blathered
blaze,blazed
blazon,blazoned
bleach,bleached
bleat,bleated
bleed,bled
bleep,bleeped
blemish,blemished
blench,blenched
blend,blended
bless,blessed
blight,blighted
blind,blinded
blindfold,blindfolded
blindside,blindsided
blink,blinked
blinker,blinkered
bliss,blissed
blister,blistered
blitz,blitzed
bloat,bloated
blob,blobbed
block,blocked
blockade,blockaded
+blog,blogged
blood,blooded
bloody,bloodied
bloom,bloomed
bloop,blooped
blossom,blossomed
blot,blotted
blotch,blotched
blouse,bloused
blow,blew
blowtorch,blowtorched
blubber,blubbered
bludgeon,bludgeoned
blue,blued
blueprint,blueprinted
bluff,bluffed
blunder,blundered
blunt,blunted
blur,blurred
blurt,blurted
blush,blushed
bluster,blustered
board,boarded
boast,boasted
boat,boated
bob,bobbed
bobble,bobbled
bobsled,bobsledded
bobsleigh,bobsleighed
bode,boded
bog,bogged
bogey,bogeyed
boggle,boggled
bogie,bogied
boil,boiled
bollix,bollixed
bolster,bolstered
bolt,bolted
bomb,bombed
bombard,bombarded
bombproof,bombproofed
bond,bonded
bone,boned
bong,bonged
boo,booed
boob,boobed
boogie,boogied
boohoo,boohooed
book,booked
bookend,bookended
bookmark,bookmarked
boom,boomed
boomerang,boomeranged
boondoggle,boondoggled
boost,boosted
boot,booted
bootleg,bootlegged
bootstrap,bootstrapped
booze,boozed
bop,bopped
border,bordered
bore,bored
borrow,borrowed
boss,bossed
botch,botched
bother,bothered
bottle,bottled
bottom,bottomed
bounce,bounced
bound,bounded
bow,bowed
bowdlerize,bowdlerized
bowl,bowled
box,boxed
boycott,boycotted
brace,braced
bracket,bracketed
brag,bragged
braid,braided
brain,brained
brainstorm,brainstormed
brainwash,brainwashed
braise,braised
brake,braked
branch,branched
brand,branded
brandish,brandished
brandy,brandied
brave,braved
brawl,brawled
bray,brayed
braze,brazed
brazen,brazened
breach,breached
bread,breaded
break,broke
breakfast,breakfasted
breast,breasted
breathalyze,breathalyzed
breathe,breathed
breed,bred
breeze,breezed
brevet,brevetted
brew,brewed
bribe,bribed
brick,bricked
bridge,bridged
bridle,bridled
brief,briefed
brighten,brightened
brim,brimmed
bring,brought
brisk,brisked
bristle,bristled
broach,broached
broadcast,broadcast
broaden,broadened
broadside,broadsided
brocade,brocaded
broil,broiled
broker,brokered
bronze,bronzed
brood,brooded
brook,brooked
browbeat,browbeat
brown,browned
browse,browsed
bruise,bruised
bruit,bruited
brunch,brunched
brush,brushed
brutalize,brutalized
bubble,bubbled
buck,bucked
bucket,bucketed
buckle,buckled
bud,budded
budge,budged
budget,budgeted
buff,buffed
buffalo,buffaloed
buffer,buffered
buffet,buffeted
bug,bugged
bugger,buggered
bugle,bugled
build,built
bulge,bulged
bulk,bulked
bull,bulled
bulldog,bulldogged
bulldoze,bulldozed
bulletin,bulletined
bulletproof,bulletproofed
bullshit,bullshitted
bully,bullied
bum,bummed
bumble,bumbled
bump,bumped
bunch,bunched
bunco,buncoed
bundle,bundled
bung,bunged
bungle,bungled
bunk,bunked
bunt,bunted
buoy,buoyed
burble,burbled
burden,burdened
bureaucratize,bureaucratized
burgeon,burgeoned
burglarize,burglarized
burglarproof,burglarproofed
burgle,burgled
burlesque,burlesqued
burn,burned
burnish,burnished
burp,burped
burr,burred
burrow,burrowed
burst,burst
bury,buried
bus,bused
bush,bushed
bushel,busheled
bushwhack,bushwhacked
buss,bussed
bust,busted
bustle,bustled
busy,busied
butcher,butchered
butt,butted
butter,buttered
butterfly,butterflied
button,buttoned
buttonhole,buttonholed
buttress,buttressed
buy,bought
buzz,buzzed
bypass,bypassed
cab,cabbed
cable,cabled
cablecast,cablecast
cache,cached
cackle,cackled
caddie,caddied
caddy,caddied
cadge,cadged
cage,caged
cajole,cajoled
cake,caked
calcify,calcified
calcimine,calcimined
calcine,calcined
calculate,calculated
calendar,calendared
calender,calendered
calibrate,calibrated
caliper,calipered
calk,calked
call,called
calliper,callipered
callous,calloused
callus,callused
calm,calmed
calumniate,calumniated
calve,calved
camber,cambered
camouflage,camouflaged
camp,camped
campaign,campaigned
canalize,canalized
cancel,canceled
candle,candled
candy,candied
cane,caned
canker,cankered
cannibalize,cannibalized
cannon,cannoned
cannonade,cannonaded
canoe,canoed
canonize,canonized
canopy,canopied
cant,canted
canter,cantered
cantilever,cantilevered
canvas,canvased
canvass,canvassed
cap,capped
caparison,caparisoned
caper,capered
capitalize,capitalized
capitulate,capitulated
capsize,capsized
capsule,capsuled
capsulize,capsulized
captain,captained
caption,captioned
captivate,captivated
capture,captured
caramelize,caramelized
carbonate,carbonated
carbonize,carbonized
card,carded
care,cared
careen,careened
career,careered
caress,caressed
caricature,caricatured
carjack,carjacked
carol,caroled
carom,caromed
carouse,caroused
carp,carped
carpenter,carpentered
carpet,carpeted
carpetbag,carpetbagged
carpool,carpooled
carry,carried
cart,carted
cartoon,cartooned
cartwheel,cartwheeled
carve,carved
cascade,cascaded
case,cased
caseharden,casehardened
cash,cashed
cashier,cashiered
casserole,casseroled
cast,cast
castigate,castigated
castle,castled
castrate,castrated
catalog,cataloged
catalogue,catalogued
catalyze,catalyzed
catapult,catapulted
catcall,catcalled
catch,caught
catechize,catechized
categorize,categorized
cater,catered
caterwaul,caterwauled
catheterize,catheterized
catnap,catnapped
caucus,caucused
caulk,caulked
cause,caused
cauterize,cauterized
caution,cautioned
cave,caved
cavil,caviled
cavort,cavorted
caw,cawed
cease,ceased
cede,ceded
celebrate,celebrated
cement,cemented
censor,censored
censure,censured
census,censused
center,centered
centralize,centralized
centre,centred
centrifuge,centrifuged
cerebrate,cerebrated
certificate,certificated
certify,certified
chafe,chafed
chaff,chaffed
chagrin,chagrined
chain,chained
chainsaw,chainsawed
chair,chaired
chalk,chalked
challenge,challenged
champ,champed
champion,championed
chance,chanced
change,changed
channel,channeled
channelize,channelized
chant,chanted
chap,chapped
chaperon,chaperoned
chaperone,chaperoned
char,charred
characterize,characterized
charbroil,charbroiled
charge,charged
charm,charmed
chart,charted
charter,chartered
chase,chased
chasten,chastened
chastise,chastised
chat,chatted
chatter,chattered
chauffeur,chauffeured
cheapen,cheapened
cheat,cheated
check,checked
checker,checkered
checkmate,checkmated
cheek,cheeked
cheep,cheeped
cheer,cheered
cherish,cherished
chew,chewed
chicken,chickened
chide,chided
childproof,childproofed
chill,chilled
chime,chimed
chin,chinned
chink,chinked
chip,chipped
chirp,chirped
chirrup,chirruped
chisel,chiseled
chitchat,chitchatted
chlorinate,chlorinated
chloroform,chloroformed
chock,chocked
choke,choked
chomp,chomped
choose,chose
chop,chopped
chopper,choppered
choreograph,choreographed
chortle,chortled
chorus,chorused
chow,chowed
christen,christened
chrome,chromed
chronicle,chronicled
chuck,chucked
chuckle,chuckled
chug,chugged
chum,chummed
churn,churned
cinch,cinched
cinder,cindered
cipher,ciphered
circle,circled
circuit,circuited
circularize,circularized
circulate,circulated
circumcise,circumcised
circumnavigate,circumnavigated
circumscribe,circumscribed
circumstance,circumstanced
circumvent,circumvented
cite,cited
civilise,civilised
civilize,civilized
clack,clacked
claim,claimed
clam,clammed
clamber,clambered
clamor,clamored
clamour,clamoured
clamp,clamped
clang,clanged
clank,clanked
clap,clapped
clapboard,clapboarded
clarify,clarified
clash,clashed
clasp,clasped
class,classed
classify,classified
clatter,clattered
claw,clawed
clean,cleaned
cleanse,cleansed
clear,cleared
clench,clenched
clerk,clerked
clew,clewed
click,clicked
climax,climaxed
climb,climbed
clinch,clinched
cling,clung
clink,clinked
cloak,cloaked
clobber,clobbered
clock,clocked
clog,clogged
cloister,cloistered
clomp,clomped
clone,cloned
clonk,clonked
clop,clopped
close,closed
closet,closeted
clot,clotted
clothe,clothed
cloud,clouded
clout,clouted
clown,clowned
cloy,cloyed
club,clubbed
cluck,clucked
clue,clued
clump,clumped
clunk,clunked
cluster,clustered
clutch,clutched
clutter,cluttered
coach,coached
coagulate,coagulated
coal,coaled
coalesce,coalesced
coarsen,coarsened
coast,coasted
coat,coated
coauthor,coauthored
coax,coaxed
cobble,cobbled
cock,cocked
cocoon,cocooned
coddle,coddled
code,coded
codify,codified
coerce,coerced
coexist,coexisted
coffin,coffined
cogitate,cogitated
cohabit,cohabited
cohere,cohered
coif,coiffed
coiffure,coiffured
coil,coiled
coin,coined
coincide,coincided
coke,coked
collaborate,collaborated
collapse,collapsed
collar,collared
collate,collated
collateralize,collateralized
collect,collected
collectivize,collectivized
collide,collided
collocate,collocated
collude,colluded
colonize,colonized
color,colored
colorize,colorized
colour,coloured
comb,combed
combat,combated
combine,combined
come,came
comfort,comforted
command,commanded
commandeer,commandeered
commemorate,commemorated
commence,commenced
commend,commended
comment,commented
commentate,commentated
commercialize,commercialized
commingle,commingled
commiserate,commiserated
commission,commissioned
commit,committed
commune,communed
communicate,communicated
commute,commuted
comp,comped
compact,compacted
compare,compared
compartmentalize,compartmentalized
compass,compassed
compel,compelled
compensate,compensated
compete,competed
compile,compiled
complain,complained
complement,complemented
complete,completed
complicate,complicated
compliment,complimented
comply,complied
comport,comported
compose,composed
compost,composted
compound,compounded
comprehend,comprehended
compress,compressed
comprise,comprised
compromise,compromised
compute,computed
computerize,computerized
con,conned
concatenate,concatenated
conceal,concealed
concede,conceded
conceive,conceived
concentrate,concentrated
conceptualize,conceptualized
concern,concerned
concert,concerted
concertina,concertinaed
concertize,concertized
conciliate,conciliated
conclude,concluded
concoct,concocted
concrete,concreted
concur,concurred
concuss,concussed
condemn,condemned
condense,condensed
condescend,condescended
condition,conditioned
condole,condoled
condone,condoned
conduce,conduced
conduct,conducted
confab,confabbed
confabulate,confabulated
confederate,confederated
confer,conferred
confess,confessed
confide,confided
configure,configured
confine,confined
confirm,confirmed
confiscate,confiscated
conflate,conflated
conflict,conflicted
conform,conformed
confound,confounded
confront,confronted
confuse,confused
confute,confuted
conga,congaed
congeal,congealed
congest,congested
conglomerate,conglomerated
congratulate,congratulated
congregate,congregated
conjecture,conjectured
conjoin,conjoined
conjugate,conjugated
conjure,conjured
conk,conked
connect,connected
connive,connived
connote,connoted
conquer,conquered
conscript,conscripted
consecrate,consecrated
consent,consented
conserve,conserved
consider,considered
consign,consigned
consist,consisted
console,consoled
consolidate,consolidated
consort,consorted
conspire,conspired
constipate,constipated
constitute,constituted
constrain,constrained
constrict,constricted
construct,constructed
construe,construed
consult,consulted
consume,consumed
consummate,consummated
contact,contacted
contain,contained
containerize,containerized
contaminate,contaminated
contemn,contemned
contemplate,contemplated
contend,contended
content,contented
contest,contested
contextualize,contextualized
continue,continued
contort,contorted
contour,contoured
contract,contracted
contradict,contradicted
contraindicate,contraindicated
contrast,contrasted
contravene,contravened
contribute,contributed
contrive,contrived
control,controlled
controvert,controverted
contuse,contused
convalesce,convalesced
convene,convened
conventionalize,conventionalized
converge,converged
converse,conversed
convert,converted
convey,conveyed
convict,convicted
convince,convinced
convoke,convoked
convoy,convoyed
convulse,convulsed
coo,cooed
cook,cooked
cool,cooled
coop,cooped
cooper,coopered
cooperate,cooperated
coordinate,coordinated
cop,copped
cope,coped
copulate,copulated
copy,copied
copycat,copycatted
copyright,copyrighted
coquette,coquetted
cord,corded
cordon,cordoned
core,cored
cork,corked
corkscrew,corkscrewed
corn,corned
corner,cornered
cornrow,cornrowed
corral,corralled
correct,corrected
correlate,correlated
correspond,corresponded
corroborate,corroborated
corrode,corroded
corrugate,corrugated
corrupt,corrupted
corset,corseted
coruscate,coruscated
cosign,cosigned
cosponsor,cosponsored
cosset,cosseted
costar,costarred
costume,costumed
cotton,cottoned
couch,couched
cough,coughed
counsel,counseled
count,counted
countenance,countenanced
counter,countered
counteract,counteracted
counterattack,counterattacked
counterbalance,counterbalanced
counterclaim,counterclaimed
counterfeit,counterfeited
countermand,countermanded
counteroffer,counteroffered
counterpoise,counterpoised
countersign,countersigned
countersink,countersunk
countervail,countervailed
couple,coupled
courier,couriered
course,coursed
court,courted
covenant,covenanted
cover,covered
covet,coveted
cow,cowed
cower,cowered
cozen,cozened
crab,crabbed
crack,cracked
crackle,crackled
cradle,cradled
craft,crafted
cram,crammed
cramp,cramped
crane,craned
crank,cranked
crap,crapped
crash,crashed
crate,crated
crater,cratered
crave,craved
crawl,crawled
crayon,crayoned
craze,crazed
creak,creaked
cream,creamed
crease,creased
create,created
credit,credited
creep,crept
cremate,cremated
crenelate,crenelated
crenellate,crenellated
creosote,creosoted
crest,crested
crew,crewed
crib,cribbed
crick,cricked
crimp,crimped
crimson,crimsoned
cringe,cringed
crinkle,crinkled
cripple,crippled
crisp,crisped
crisscross,crisscrossed
criticize,criticized
critique,critiqued
croak,croaked
crochet,crocheted
crook,crooked
croon,crooned
crop,cropped
cross,crossed
crossbreed,crossbred
crosscheck,crosschecked
crosscut,crosscut
crosshatch,crosshatched
crouch,crouched
crow,crowed
crowd,crowded
+crowdfund,crowdfunded
crown,crowned
crucify,crucified
cruise,cruised
crumb,crumbed
crumble,crumbled
crumple,crumpled
crunch,crunched
crusade,crusaded
crush,crushed
crust,crusted
cry,cried
crystallize,crystallized
cube,cubed
cuckold,cuckolded
cuddle,cuddled
cudgel,cudgeled
cue,cued
cuff,cuffed
cull,culled
culminate,culminated
cultivate,cultivated
culture,cultured
cum,came
cumber,cumbered
cup,cupped
curate,curated
curb,curbed
curdle,curdled
cure,cured
curl,curled
curlicue,curlicued
curry,curried
currycomb,currycombed
curse,cursed
curtail,curtailed
curtain,curtained
curtsey,curtseyed
curtsy,curtsied
curve,curved
cushion,cushioned
cuss,cussed
customize,customized
cut,cut
cycle,cycled
cypher,cyphered
dab,dabbed
dabble,dabbled
daguerreotype,daguerreotyped
dally,dallied
dam,dammed
damage,damaged
damask,damasked
damn,damned
damp,damped
dampen,dampened
dance,danced
dandify,dandified
dandle,dandled
dang,danged
dangle,dangled
dapple,dappled
dare,dared
darken,darkened
darn,darned
dart,darted
dash,dashed
date,dated
dateline,datelined
daub,daubed
daunt,daunted
dawdle,dawdled
dawn,dawned
daydream,daydreamed
daze,dazed
dazzle,dazzled
deactivate,deactivated
deaden,deadened
deadlock,deadlocked
deadpan,deadpanned
deafen,deafened
deal,dealt
debar,debarred
debark,debarked
debase,debased
debate,debated
debauch,debauched
debilitate,debilitated
debit,debited
debouch,debouched
debrief,debriefed
debug,debugged
debunk,debunked
debut,debuted
decaffeinate,decaffeinated
decamp,decamped
decant,decanted
decapitate,decapitated
decay,decayed
decease,deceased
deceive,deceived
decelerate,decelerated
decentralize,decentralized
decide,decided
decimate,decimated
decipher,deciphered
deck,decked
declaim,declaimed
declare,declared
declassify,declassified
decline,declined
decode,decoded
decolonize,decolonized
decommission,decommissioned
decompose,decomposed
decompress,decompressed
decontaminate,decontaminated
decontrol,decontrolled
decorate,decorated
decoupage,decoupaged
decoy,decoyed
decrease,decreased
decree,decreed
decriminalize,decriminalized
decry,decried
dedicate,dedicated
deduce,deduced
deduct,deducted
deed,deeded
deem,deemed
deepen,deepened
deescalate,deescalated
deface,defaced
defalcate,defalcated
defame,defamed
default,defaulted
defeat,defeated
defecate,defecated
defect,defected
defend,defended
defense,defensed
defer,deferred
defile,defiled
define,defined
deflate,deflated
deflect,deflected
deflower,deflowered
defog,defogged
defoliate,defoliated
deforest,deforested
deform,deformed
defraud,defrauded
defray,defrayed
defrock,defrocked
defrost,defrosted
defuse,defused
defy,defied
degas,degassed
degenerate,degenerated
degrade,degraded
dehumanize,dehumanized
dehumidify,dehumidified
dehydrate,dehydrated
dehydrogenate,dehydrogenated
deice,deiced
deify,deified
deign,deigned
deject,dejected
delay,delayed
delegate,delegated
delete,deleted
+deleverage,deleveraged
deliberate,deliberated
delight,delighted
delimit,delimited
delineate,delineated
deliquesce,deliquesced
deliver,delivered
delouse,deloused
delude,deluded
deluge,deluged
delve,delved
demagnetize,demagnetized
demand,demanded
demarcate,demarcated
demean,demeaned
demilitarize,demilitarized
demise,demised
demobilize,demobilized
democratize,democratized
demodulate,demodulated
demolish,demolished
demonetize,demonetized
demonstrate,demonstrated
demoralize,demoralized
demote,demoted
demur,demurred
demystify,demystified
denationalize,denationalized
denature,denatured
denigrate,denigrated
denominate,denominated
denote,denoted
denounce,denounced
dent,dented
denuclearize,denuclearized
denude,denuded
deny,denied
deodorize,deodorized
depart,departed
departmentalize,departmentalized
depend,depended
depersonalize,depersonalized
depict,depicted
deplane,deplaned
deplete,depleted
deplore,deplored
deploy,deployed
depolarize,depolarized
depoliticize,depoliticized
depopulate,depopulated
deport,deported
depose,deposed
deposit,deposited
deprave,depraved
deprecate,deprecated
depreciate,depreciated
depress,depressed
depressurize,depressurized
deprive,deprived
deprogram,deprogrammed
depute,deputed
deputize,deputized
derail,derailed
derange,deranged
deregulate,deregulated
deride,derided
derive,derived
derogate,derogated
desalinate,desalinated
desalinize,desalinized
desalt,desalted
descant,descanted
descend,descended
describe,described
descry,descried
desecrate,desecrated
desegregate,desegregated
desensitize,desensitized
desert,deserted
